"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4","org.openrewrite.maven.RemoveExclusion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5","org.openrewrite.java.dependencies.ChangeDependency","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeJavaVersion","org.openrewrite.java.migrate.maven.UpdateMavenProjectPropertyJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.Java8toJava11","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeJavaVersion","org.openrewrite.java.migrate.maven.UpdateMavenProjectPropertyJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.UpgradeBuildToJava17","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.maven.UpgradeParentVersion","300","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","src/main/java/com/javatechie/crud/example/dto/LoginDTO.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","src/main/java/com/javatechie/crud/example/repository/ProductRepository.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","src/main/java/com/javatechie/crud/example/config/CommonConfiguration.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_7","org.openrewrite.java.spring.security5.WebSecurityConfigurerAdapter","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_7","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","org.openrewrite.java.spring.boot2.HttpSecurityLambdaDsl","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","org.openrewrite.java.spring.boot2.HeadersConfigurerLambdaDsl","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","org.openrewrite.java.spring.security5.AuthorizeHttpRequests","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","org.openrewrite.java.spring.security5.UseNewRequestMatchers","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","org.openrewrite.java.spring.security5.ReplaceGlobalMethodSecurityWithMethodSecurity","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","300","1"
"src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","src/main/java/com/javatechie/crud/example/config/SecurityConfiguration.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","300","1"
